%time,field.header.sequence,field.header.idle_time,y,x,z
1.68846E+18,0,130,225.6176782,-152.4640521,6.548081401
1.68846E+18,0,120,225.5672006,-152.3721846,6.472998991
1.68846E+18,0,120,225.5254401,-152.3317153,6.419976323
1.68846E+18,0,126,225.505691,-152.3423962,6.416514633
1.68846E+18,0,126,225.353681,-152.035868,6.202819054
1.68846E+18,0,125,225.8259267,-151.686751,6.194491243
1.68846E+18,0,125,227.3803296,-150.533709,6.214603299
1.68846E+18,0,134,229.8326939,-148.6833021,6.247353624
1.68846E+18,0,134,233.1101865,-146.2709488,6.295870788
1.68846E+18,0,134,236.9667111,-143.5899843,6.335990537
1.68846E+18,0,134,241.0718806,-140.8115706,6.374174934
1.68846E+18,0,137,244.9666037,-138.0989591,6.409312095
1.68846E+18,0,122,248.3975715,-135.2403224,6.44108553
1.68846E+18,0,122,250.8661601,-131.884041,6.427969731
1.68846E+18,0,127,252.2920735,-128.0625498,6.354163708
1.68846E+18,0,125,252.627733,-123.3642499,6.337556746
1.68846E+18,0,125,251.742592,-118.2762484,6.322577166
1.68846E+18,0,116,249.4410312,-113.1837454,6.326854997
1.68846E+18,0,116,246.0982768,-108.1209851,6.282584081
1.68846E+18,0,132,242.443214,-102.7134376,6.227516974
1.68846E+18,0,132,238.3889526,-96.81835333,6.178987396
1.68846E+18,0,132,233.9510496,-90.49731436,6.17911488
1.68846E+18,0,132,229.1829217,-83.82150827,6.190377013
1.68846E+18,0,131,224.1329305,-76.7694075,6.165735034
1688462709092360000,0,131,218.8670637,-69.43258963,6.189843677
1.68846E+18,0,131,213.4309363,-61.82051509,6.183047496
1688462711063200000,0,126,207.8535917,-54.00482679,6.19414324
1.68846E+18,0,126,202.2787522,-46.32314491,6.178349027
1.68846E+18,0,134,196.8334828,-38.81434756,6.135563697
1.68846E+18,0,125,191.5233226,-31.47833174,6.105155841
1.68846E+18,0,125,186.2284379,-24.06984078,6.053563396
1.68846E+18,0,134,181.2068679,-16.46031409,6.029213487
1688462717086830000,0,129,176.4361848,-9.526707698,5.991342752
1.68846E+18,0,129,172.268432,-3.664630893,5.932761322
1.68846E+18,0,133,168.8478219,1.118293029,5.881068814
1.68846E+18,0,127,166.0689689,5.005716533,5.845532979
1.68846E+18,0,127,164.0043596,7.854619993,5.801555235
1.68846E+18,0,131,162.6832281,9.583050317,5.767760327
1.68846E+18,0,131,161.9374807,10.52817424,5.724344251
1.68846E+18,0,131,161.6987226,10.79183777,5.685069689
1.68846E+18,0,134,161.8241949,10.66011967,5.709452806
