%time,field.header.seq,field.header.stamp,x,y,z
1684310329127317184,7348,1684310329126967191,0.08246948290616274,0.3386894450522959,57.6232
1684310329176969632,7349,1684310329176521301,0.08966550684999675,0.3385540973395109,57.6366
1684310329226929248,7350,1684310329226537227,0.09069350984646007,0.3385347621515393,57.6373
1684310329282741440,7351,1684310329282482624,0.09069350984646007,0.3385347621515393,57.6169
1684310329328669504,7352,1684310329328283309,0.08966550684999675,0.3385540973395109,57.6219
1684310329378665888,7353,1684310329378301858,0.08872085378970951,0.3430049675516784,57.6264
1684310329429917984,7354,1684310329429535627,0.09285370638826862,0.34403550950810313,57.6343
1684310329477910976,7355,1684310329477483034,0.09188821684801951,0.3473784951493144,57.6255
1684310329524752576,7356,1684310329524294376,0.09406925126677379,0.35398712707683444,57.6326
1684310329577862784,7357,1684310329577124595,0.09423595387488604,0.3628501947969198,57.6258
1684310329628377632,7358,1684310329627805233,0.09543065959587693,0.3716939282603562,57.6258
1684310329677240416,7359,1684310329676858901,0.08949185349047184,0.38399665988981724,57.6334
1684310329726792480,7360,1684310329726445198,0.08970023179426789,0.3950754962861538,57.6244
1684310329777101536,7361,1684310329776671409,0.08898479613708332,0.41171308560296893,57.6315
1684310329828285088,7362,1684310329827805995,0.0861300032120198,0.4239578116685152,57.6113
1684310329878190816,7363,1684310329877783536,0.0853312149993144,0.4361638664267957,57.5958
1684310329925086368,7364,1684310329924721717,0.08153176767518744,0.4528594617731869,57.5973
1684310329978151936,7365,1684310329977821588,0.07974665338406339,0.46730061899870634,57.5837
1684310330025145728,7366,1684310330024819135,0.07485668826848269,0.48069190001115203,57.5844
1684310330078217472,7367,1684310330077866077,0.0689178835018538,0.4929946316406131,57.58
1684310330128339968,7368,1684310330128054857,0.059957580582704395,0.5086790206842124,57.5843
1684310330177822720,7369,1684310330177500486,0.059179630246944726,0.5219929595477879,57.5909
1684310330227355840,7370,1684310330227087020,0.0471353181055747,0.537735354155302,57.5733
1684310330283729280,7371,1684310330283456087,0.040314374084118754,0.5578126069158316,57.5979
1684310330328958464,7372,1684310330328607797,0.04482230782741681,0.5787850534543395,57.5901
1684310330380961312,7373,1684310330379469871,0.05858227121643722,0.5995834823697805,57.6123
1684310330430906112,7374,1684310330430420637,0.07655844138935208,0.625843986403197,57.6243
